"","Prefix","Level","Semester","Competency","Student.Work","Form","PT1","SCI1","PT2","SCI2","PT3","SCI3","PT4","SCI4","Total","Mean","file"
"1","BIOL","200","Fall 2009","Natural Sciences","a selected response exam","Score",80,"3",NA,"",NA,"",NA,"","3","3",1
"2","BIOL","200","Fall 2009","Natural Sciences","a selected response exam","Score",58,"1",NA,"",NA,"",NA,"","1","1",1
"3","BIOL","200","Fall 2009","Natural Sciences","a selected response exam","Score",56,"1",NA,"",NA,"",NA,"","1","1",1
"4","BIOL","200","Fall 2009","Natural Sciences","a selected response exam","Score",80,"3",NA,"",NA,"",NA,"","3","3",1
"5","BIOL","200","Fall 2009","Natural Sciences","a selected response exam","Score",58,"1",NA,"",NA,"",NA,"","1","1",1
"6","BIOL","200","Fall 2009","Natural Sciences","a selected response exam","Score",68,"2",NA,"",NA,"",NA,"","2","2",1
"7","BIOL","200","Fall 2009","Natural Sciences","a selected response exam","Score",70,"3",NA,"",NA,"",NA,"","3","3",1
"8","BIOL","200","Fall 2009","Natural Sciences","a selected response exam","Score",94,"4",NA,"",NA,"",NA,"","4","4",1
"9","BIOL","200","Fall 2009","Natural Sciences","a selected response exam","Score",86,"4",NA,"",NA,"",NA,"","4","4",1
"10","BIOL","200","Fall 2009","Natural Sciences","a selected response exam","Score",72,"3",NA,"",NA,"",NA,"","3","3",1
"11","BIOL","200","Fall 2009","Natural Sciences","a selected response exam","Score",84,"3",NA,"",NA,"",NA,"","3","3",1
"12","BIOL","200","Fall 2009","Natural Sciences","a selected response exam","Score",74,"3",NA,"",NA,"",NA,"","3","3",1
"13","BIOL","200","Fall 2009","Natural Sciences","a selected response exam","Score",90,"4",NA,"",NA,"",NA,"","4","4",1
"14","BIOL","200","Fall 2009","Natural Sciences","a selected response exam","Score",72,"3",NA,"",NA,"",NA,"","3","3",1
"15","BIOL","200","Fall 2009","Natural Sciences","a selected response exam","Score",70,"3",NA,"",NA,"",NA,"","3","3",1
"16","BIOL","200","Fall 2009","Natural Sciences","a selected response exam","Score",48,"0",NA,"",NA,"",NA,"","0","0",1
"17","BIOL","200","Fall 2009","Natural Sciences","a selected response exam","Score",62,"2",NA,"",NA,"",NA,"","2","2",1
"18","BIOL","200","Fall 2009","Natural Sciences","a selected response exam","Score",68,"2",NA,"",NA,"",NA,"","2","2",1
"19","BIOL","200","Fall 2009","Natural Sciences","a selected response exam","Score",70,"3",NA,"",NA,"",NA,"","3","3",1
"20","BIOL","200","Fall 2009","Natural Sciences","a selected response exam","Score",84,"3",NA,"",NA,"",NA,"","3","3",1
"21","BIOL","200","Fall 2009","Natural Sciences","a selected response exam","Score",94,"4",NA,"",NA,"",NA,"","4","4",1
"22","BIOL","200","Fall 2009","Natural Sciences","a selected response exam","Score",54,"1",NA,"",NA,"",NA,"","1","1",1
"23","BIOL","200","Fall 2009","Natural Sciences","a selected response exam","Score",82,"3",NA,"",NA,"",NA,"","3","3",1
"24","BIOL","200","Fall 2009","Natural Sciences","a selected response exam","Score",80,"3",NA,"",NA,"",NA,"","3","3",1
"25","BIOL","200","Spring 2010","Natural Sciences","a selected response exam","Score",88,"4",NA,"",NA,"",NA,"","4","4",2
"26","BIOL","200","Spring 2010","Natural Sciences","a selected response exam","Score",60,"2",NA,"",NA,"",NA,"","2","2",2
"27","BIOL","200","Spring 2010","Natural Sciences","a selected response exam","Score",78.5,"3",NA,"",NA,"",NA,"","3","3",2
"28","BIOL","200","Spring 2010","Natural Sciences","a selected response exam","Score",84.5,"3",NA,"",NA,"",NA,"","3","3",2
"29","BIOL","200","Spring 2010","Natural Sciences","a selected response exam","Score",65,"2",NA,"",NA,"",NA,"","2","2",2
"30","BIOL","200","Spring 2010","Natural Sciences","a selected response exam","Score",95.5,"4",NA,"",NA,"",NA,"","4","4",2
"31","BIOL","200","Spring 2010","Natural Sciences","a selected response exam","Score",86,"4",NA,"",NA,"",NA,"","4","4",2
